Record Indicator,Trade Time,Trade Price,Trade Quantity,Buy Order Number,Sell Order Number
RM,2021-01-20 10:51:02.101867776,15605,30,CEB6F468180E47E2D5FE7E83667EB239,F4C46027F7EF092A70F5404F058874D6
RM,2021-01-20 10:51:02.102081280,15605,59,B4FE93BB6C2D7CEE6D6C3ABA9C644970,F4C46027F7EF092A70F5404F058874D6
RM,2021-01-20 10:53:03.424377344,15605,1,9545242D22B8431289D0208BD10C2645,4E9C765416647211DBEE8D90F61A668A
RM,2021-01-20 10:53:03.424468992,15595,8,DC89978AF67BDD1F0853709A95E49F53,4E9C765416647211DBEE8D90F61A668A
RM,2021-01-20 10:53:03.424575744,15580,40,70D9FC8C8C22E4EB6584DD974938A20A,4E9C765416647211DBEE8D90F61A668A
RM,2021-01-20 10:53:03.424606208,15580,4,FD4C0A1C3599CCA011E0A936CFEE0E6F,4E9C765416647211DBEE8D90F61A668A
RM,2021-01-20 10:53:07.377426176,15600,1,CF837E4B05BCD6089537483EBB503221,E9583F152AB291C0DA278FC8A0F1D468
RM,2021-01-20 10:53:07.377502464,15600,35,CEDB6CC7FED7A0B8DAA1015B41510241,E9583F152AB291C0DA278FC8A0F1D468
RM,2021-01-20 10:53:09.542144768,15645,1,32DE6F850430AF1A665D80725B2B5170,E83A7CF9FB51EE08EE3023AA36F793B4
RM,2021-01-20 10:53:36.383621120,15645,1,EACE3C3F1E8A6FE3A1B91F28181F94A5,8E72BBC163BC1E8660172474B2D6F8B5
RM,2021-01-20 10:54:05.676605184,15620,25,E9D61564023B17A65A5526B0459365BA,4F599FDBFAB4D3405D79FB260D75A4A0
RM,2021-01-20 10:54:30.562851072,15605,7,D7DC2635A28CF65C05B4E0978614948E,B2639BBF7D82BDFB848D6042ECA1F95B
RM,2021-01-20 10:54:34.227645952,15600,1,B88B792DED5999D3DAD48F8BE05A6716,34B2DC16947733A808D387009ADE6976
RM,2021-01-20 10:54:34.227661056,15600,7,E20DE04AD16824ED6477501CE5948F6C,34B2DC16947733A808D387009ADE6976
RM,2021-01-20 10:54:35.803863552,15620,1,D319CFFDA52FE2A035E4847B0B9689A9,0BF178987FA40AF2BDBB0461D04B7B39
RM,2021-01-20 10:55:33.438934272,15620,4,77AA14889EBAB9D55C687299A346840C,8E72BBC163BC1E8660172474B2D6F8B5
RM,2021-01-20 10:55:33.438949632,15620,60,77AA14889EBAB9D55C687299A346840C,B92797EF3D6FBA0F63EBCE0AAC1D12FE
RM,2021-01-20 10:55:33.438964736,15630,1,77AA14889EBAB9D55C687299A346840C,7BB1A37A02F2866AE128BD9D69C10687
RM,2021-01-20 11:00:52.235336192,15635,1,A8BFD70F27C3AF8AF04759EF9BAA019E,4CF77C8A92A21F9EE7AAA35869EF372F
